20260327-763e3ce7,20260327-f6e53c19,98027,1,-45.00,0.0800,0.2903,1.00,0.000050,Wall,5,0,93.4303,101.7032,9.3514,5.4881,0.000,0.000,0.000,0.000,1.000,0.000,1,0,1.0000,1,0,1,0,0,0,0
20260327-763e3ce7,20260327-f6e53c19,98028,1,-45.00,0.0800,0.3393,1.00,0.000050,Wall,5,0,95.9807,103.6533,9.0600,14.2850,0.000,0.000,0.000,0.000,1.000,0.000,1,0,1.0000,1,0,1,0,0,0,0
20260327-763e3ce7,20260327-f6e53c19,98029,1,-45.00,0.0800,0.3700,1.00,0.000050,Wall,5,0,94.3660,103.5286,8.3719,7.2055,0.000,0.000,0.000,0.000,1.000,0.000,1,0,1.0000,1,0,1,0,0,0,0
20260327-763e3ce7,20260327-f6e53c19,98030,1,-45.00,0.0800,0.2455,1.00,0.000050,Wall,5,0,95.0831,101.5693,12.6783,14.4639,0.000,0.000,0.000,0.000,1.000,0.000,1,0,1.0000,1,0,1,0,0,0,0
20260327-763e3ce7,20260327-f6e53c19,98031,1,-45.00,0.0800,0.6132,1.00,0.000050,Wall,5,0,94.7427,101.0670,7.0639,59.0614,0.000,0.000,0.000,0.000,1.000,0.000,1,0,1.0000,1,0,1,0,0,0,0
20260327-763e3ce7,20260327-f6e53c19,98032,1,-45.00,0.0800,0.4813,1.00,0.000050,Wall,5,0,92.8252,103.3354,9.3873,18.2062,0.000,0.000,0.000,0.000,1.000,0.000,1,0,1.0000,1,0,1,0,0,0,0
20260327-763e3ce7,20260327-f6e53c19,98033,1,-45.00,0.0800,0.1614,1.00,0.000050,Wall,5,0,96.0529,104.6923,10.8571,9.2817,0.000,0.000,0.000,0.000,1.000,0.000,1,0,1.0000,1,0,1,0,0,0,0
20260327-763e3ce7,20260327-f6e53c19,98034,1,-45.00,0.0800,0.3719,1.00,0.000050,Wall,5,0,96.2486,105.4867,7.1486,45.0659,0.000,0.000,0.000,0.000,1.000,0.000,1,0,1.0000,1,0,1,0,0,0,0
20260327-763e3ce7,20260327-f6e53c19,98035,1,-45.00,0.0800,0.2854,1.00,0.000050,Wall,5,0,95.3201,115.8310,10.6259,32.5342,0.000,0.000,0.000,0.000,1.000,0.000,1,0,1.0000,1,0,1,0,0,0,0
20260327-763e3ce7,20260327-f6e53c19,98036,1,-45.00,0.0800,0.7462,1.00,0.000050,Wall,5,0,94.9521,101.8518,13.3079,33.4064,0.000,0.000,0.000,0.000,1.000,0.000,1,0,1.0000,1,0,1,0,0,0,0
