Timestamp,Generation,GenomeID,Fitness,SurvivalTime,FoodEaten,MaxLen,CauseOfDeath
2026-02-03 20:43:09,N/A,87,917.78,48.56,27,27,Starvation
2026-02-03 20:44:12,N/A,88,972.05,59.41,27,27,Starvation
2026-02-03 20:44:48,N/A,89,793.91,33.78,25,25,Starvation
2026-02-03 20:45:19,N/A,90,788.83,27.77,26,26,Starvation
2026-02-03 20:45:56,N/A,91,817.40,33.48,26,26,Starvation
2026-02-03 20:46:34,N/A,92,824.32,34.86,26,26,Starvation
2026-02-03 20:47:07,N/A,93,799.11,29.82,26,26,Starvation
2026-02-03 20:47:52,N/A,94,863.09,42.62,26,26,Starvation
2026-02-03 20:48:43,N/A,95,888.93,47.79,26,26,Starvation
2026-02-03 20:49:22,N/A,96,826.82,35.36,26,26,Starvation
2026-02-03 20:49:58,N/A,97,841.04,33.21,27,27,Starvation
2026-02-03 20:50:31,N/A,98,799.05,29.81,26,26,Starvation
2026-02-03 20:51:39,N/A,99,1052.62,65.52,29,29,Starvation
2026-02-03 20:52:16,N/A,100,797.17,29.43,26,26,Starvation
2026-02-03 20:53:01,N/A,101,882.13,41.43,27,27,Starvation
2026-02-03 20:54:43,N/A,102,1294.21,98.84,32,32,Starvation
2026-02-03 20:56:19,N/A,103,1290.58,93.12,33,33,Starvation
2026-02-03 20:57:00,N/A,104,838.14,37.63,26,26,Starvation
2026-02-03 20:57:46,N/A,105,916.69,43.34,28,28,Starvation
2026-02-03 20:58:54,N/A,106,998.00,64.60,27,27,Starvation
2026-02-03 20:59:31,N/A,107,822.02,34.40,26,26,Starvation
2026-02-03 21:00:15,N/A,108,877.45,40.49,27,27,Starvation
2026-02-03 21:01:02,N/A,109,869.65,43.93,26,26,Starvation
2026-02-03 21:01:32,N/A,110,763.58,27.72,25,25,Starvation
2026-02-03 21:02:17,N/A,111,856.98,41.40,26,26,Starvation
2026-02-03 21:03:02,N/A,112,883.99,41.80,27,27,Starvation
2026-02-03 21:04:30,N/A,113,1151.09,85.22,29,29,Starvation
2026-02-03 21:05:30,N/A,114,985.64,57.13,28,28,Starvation
2026-02-03 21:06:33,N/A,115,973.77,59.75,27,27,Starvation
2026-02-03 21:07:04,N/A,116,792.82,28.56,26,26,Starvation
2026-02-03 21:07:50,N/A,117,914.75,42.95,28,28,Starvation
2026-02-03 21:08:40,N/A,118,905.99,46.20,27,27,Starvation
2026-02-03 21:09:12,N/A,119,798.53,29.71,26,26,Starvation
2026-02-03 21:10:00,N/A,120,921.83,44.37,28,28,Starvation
2026-02-03 21:11:02,N/A,121,994.31,58.86,28,28,Starvation
2026-02-03 21:12:09,N/A,122,1045.17,64.03,29,29,Starvation
2026-02-03 21:12:45,N/A,123,813.05,32.61,26,26,Starvation
2026-02-03 21:13:22,N/A,124,845.61,34.12,27,27,Starvation
2026-02-03 21:14:11,N/A,125,882.94,46.59,26,26,Starvation
2026-02-03 21:15:14,N/A,126,972.96,59.59,27,27,Starvation
2026-02-03 21:15:45,N/A,127,788.19,27.64,26,26,Starvation
2026-02-03 21:16:18,N/A,128,799.66,29.93,26,26,Starvation
2026-02-03 21:16:48,N/A,129,762.82,27.56,25,25,Starvation
2026-02-03 21:17:32,N/A,130,879.46,40.89,27,27,Starvation
2026-02-03 21:18:03,N/A,131,762.65,27.53,25,25,Starvation
2026-02-03 21:18:42,N/A,132,856.14,36.23,27,27,Starvation
2026-02-03 21:19:44,N/A,133,967.20,58.44,27,27,Starvation
2026-02-03 21:20:34,N/A,134,961.06,47.21,29,29,Starvation
2026-02-03 21:22:13,N/A,135,1178.30,95.66,28,28,Starvation
2026-02-03 21:22:55,N/A,136,847.46,39.49,26,26,Starvation
2026-02-03 21:24:03,N/A,137,1022.83,64.57,28,28,Starvation
2026-02-03 21:24:53,N/A,138,884.81,46.96,26,26,Starvation
2026-02-03 21:25:42,N/A,139,879.25,45.85,26,26,Starvation
2026-02-03 21:26:15,N/A,140,825.97,30.19,27,27,Starvation
2026-02-03 21:27:09,N/A,141,927.00,50.40,27,27,Starvation
2026-02-03 21:27:50,N/A,142,1016.79,38.36,33,33,Starvation
2026-02-03 21:28:37,N/A,143,893.76,43.75,27,27,Starvation
2026-02-03 21:29:08,N/A,144,790.47,28.09,26,26,Starvation
2026-02-03 21:30:06,N/A,145,950.09,55.02,27,27,Starvation
2026-02-03 21:30:37,N/A,146,789.44,27.89,26,26,Starvation
2026-02-03 21:31:43,N/A,147,963.94,62.79,26,26,Starvation
